lang,topic,commits_count,contrib_count,issue_count,stars_count
Java,database,34,0,2,80
Java,android,129,6,299,2
Python,api,327,10,52,481
Java,android,68,2,6,35
Python,machine-learning,348,8,22,50
Java,android,9,0,0,103
Python,database,115,11,30,195
Python,machine-learning,42,4,2,782
Python,machine-learning,4,0,0,4
Java,android,1098,40,54,3
Python,machine-learning,2070,4,6,370
Python,security,32,5,10,482
Java,android,16,2,3,49
JavaScript,api,38,3,2,25
Java,security,132,10,5,2
JavaScript,security,32,3,0,16
Python,api,82,2,3,547
Python,machine-learning,53,2,2,13
Python,security,39,4,6,668
JavaScript,database,5118,400,61,9
JavaScript,api,71,10,7,55
JavaScript,api,425,0,0,13
Python,machine-learning,112,3,0,26
Java,android,79,4,13,1
C++,api,36,7,9,846
JavaScript,api,26,0,2,52
JavaScript,api,137,2,2,198
Java,database,34,0,0,145
C++,machine-learning,1170,63,406,6
Java,security,172,4,0,246
JavaScript,database,642,31,39,332
Java,android,77,0,2,245
JavaScript,android,6333,99,338,1
Java,android,294,7,61,3
Python,api,227,21,5,569
Java,android,19,2,0,26
C++,security,266,8,5,244
Java,database,32,0,0,10
C++,android,47,23,16,379
Java,api,145,4,5,15
Python,database,514,8,95,501
C++,android,148,9,141,6
JavaScript,api,80,2,0,19
Java,database,23,0,3,139
Python,api,201,6,3,601
Java,database,5599,76,26,1
Java,android,4840,78,0,2
JavaScript,security,595,4,7,55
Python,security,119,0,2,214
C++,database,364,22,4,22
JavaScript,api,40,0,1,39
Python,api,104,0,1,4
JavaScript,api,135,5,6,317
Java,android,1061,74,719,4
Java,database,1778,7,1,273
Python,machine-learning,224,7,1,1
JavaScript,android,107,9,18,1
C++,machine-learning,2378,69,151,3
JavaScript,api,787,5,9,88
Python,api,228,31,15,822
Java,android,113,2,15,146
Python,security,340,18,3,346
JavaScript,api,1685,201,77,10
C++,api,226,13,7,117
Java,android,1073,19,41,2
Python,machine-learning,184,0,0,23
JavaScript,android,401,24,40,2
Java,android,7,0,0,27
Java,android,2,0,0,16
Java,android,22,0,2,142
Python,api,428,10,53,641
Python,api,56,2,5,33
Java,api,196,4,13,79
Python,security,665,0,0,249
JavaScript,android,58,0,0,18
Python,database,504,68,1,12
Python,android,126,7,13,889
JavaScript,security,96,3,2,943
JavaScript,security,126,13,2,991
JavaScript,api,216,13,61,3
Java,android,4920,37,102,2
Java,android,891,5,14,2
Java,android,50,3,21,2
Python,security,1585,10,63,843
C++,android,27,4,4,1
Java,machine-learning,1723,17,0,373
Python,android,635,19,95,211
JavaScript,database,44,9,10,39
JavaScript,api,26,0,2,13
JavaScript,api,395,75,259,1
Python,machine-learning,113,4,2,1
JavaScript,api,8,0,0,0
C++,database,2362,15,56,781
JavaScript,machine-learning,3302,27,16,823
Python,android,544,7,0,115
Python,security,683,0,0,0
JavaScript,api,12,2,0,1
Java,android,89,3,55,5
JavaScript,api,91,0,2,99
Java,android,159,14,13,14
Python,machine-learning,132,6,82,1
Java,android,66,3,6,683
Python,machine-learning,289,8,1,295
Java,android,82,10,8,2
JavaScript,api,140,7,12,220
JavaScript,api,161,3,12,269
Java,android,504,0,6,23
JavaScript,api,57,2,0,18
Python,api,12,0,0,83
Java,api,367,45,7,426
Java,android,120,7,42,1
JavaScript,android,24,3,0,19
Python,api,52,0,0,12
Python,security,1784,0,3,448
JavaScript,api,2,0,0,1
Java,security,76,0,1,250
JavaScript,api,154,3,9,264
Java,android,1278,58,247,11
JavaScript,android,360,101,119,877
Python,database,17,7,1,25
JavaScript,api,33,0,2,4
JavaScript,api,21,2,2,34
Python,api,1214,14,27,408
Python,security,39,2,7,882
Python,machine-learning,343,10,3,480
Python,machine-learning,99,0,30,690
C++,android,34,0,2,151
Python,machine-learning,176,2,10,893
JavaScript,api,37,0,0,14
Java,android,361,35,34,861
Java,database,2316,46,2,264
C++,android,4605,95,93,13
Java,android,410,2,0,18
Python,api,308,15,24,739
Java,android,43,6,28,1
JavaScript,api,202,10,11,337
Python,api,64,2,0,213
JavaScript,api,31,0,0,19
Python,api,23,0,0,20
JavaScript,security,408,25,20,481
JavaScript,api,284,4,0,3
Java,database,55,3,7,207
Python,machine-learning,8,0,2,56
JavaScript,security,104,5,0,17
JavaScript,android,192,3,125,691
JavaScript,android,259,9,30,2
Python,api,835,108,108,857
JavaScript,api,292,0,0,59
JavaScript,database,172,6,12,166
Java,security,41,2,1,197
Python,machine-learning,669,33,127,1
Python,machine-learning,11,0,3,597
Java,android,60,13,8,1
JavaScript,api,10,0,0,11
C++,android,808,2,0,27
JavaScript,database,2,0,10,52
Python,security,85,0,2,565
Python,machine-learning,1174,25,161,1
Python,machine-learning,24,2,0,4
JavaScript,machine-learning,29,0,1,556
Java,android,63,3,8,333
Python,machine-learning,672,7,1,4
JavaScript,android,112,8,8,524
JavaScript,android,96,11,60,3
Python,database,78,7,15,1
Java,api,174,2,0,5
Java,android,7,0,0,4
